Market,Make,VehicleAge,median_make_price_index,listing_count
Pakistan,Audi,1,2.411067193675889,3
Pakistan,Audi,2,2.3715415019762847,24
Pakistan,Audi,3,2.015810276679842,17
Pakistan,Audi,4,1.699604743083004,13
Pakistan,Audi,5,1.2648221343873518,17
Pakistan,Audi,6,0.9644268774703557,23
Pakistan,Audi,7,0.8260869565217391,32
Pakistan,Audi,8,0.9090909090909091,25
Pakistan,Audi,9,0.6422924901185771,24
Pakistan,Audi,10,0.5533596837944664,10
Pakistan,Audi,11,0.616600790513834,5
Pakistan,Audi,12,0.5770750988142292,4
Pakistan,Audi,13,0.4743083003952569,3
Pakistan,Audi,14,0.37549407114624506,1
Pakistan,Audi,15,0.6719367588932806,2
Pakistan,Audi,16,0.47430830039525695,4
Pakistan,Audi,17,0.4031620553359684,2
Pakistan,Audi,18,0.3952569169960474,1
US,Audi,1,1.592288032003556,13
US,Audi,2,1.444604956106234,281
US,Audi,3,1.3334074156387747,239
US,Audi,4,1.1099381412749565,518
US,Audi,5,1.0655072785865096,536
US,Audi,6,0.9127866059191763,232
US,Audi,7,0.8014409008408342,200
US,Audi,8,0.629514390487832,132
US,Audi,9,0.573952661406823,97
US,Audi,10,0.4814238619105826,78
US,Audi,11,0.4071748712819943,68
US,Audi,12,0.3702263214431233,69
US,Audi,13,0.29621809830721935,31
US,Audi,14,0.2576212171722784,29
US,Audi,15,0.27762343964144165,21
US,Audi,16,0.22202466940771198,8
US,Audi,17,0.14779419935548394,3
US,Audi,18,0.18502055783975999,3
US,Audi,19,0.27762343964144165,1
US,Audi,20,0.10173352594732749,2
US,Audi,21,0.07404526428862467,1
US,Audi,22,0.18435381709078785,1
Pakistan,Bmw,1,10.653846153846153,18
Pakistan,Bmw,2,6.346153846153846,10
Pakistan,Bmw,3,6.384615384615385,5
Pakistan,Bmw,5,1.669230769230769,6
Pakistan,Bmw,6,1.2615384615384615,5
Pakistan,Bmw,7,1.4384615384615385,12
Pakistan,Bmw,8,2.9923076923076923,4
Pakistan,Bmw,9,2.730769230769231,2
Pakistan,Bmw,10,3.1153846153846154,2
Pakistan,Bmw,11,1.36,3
Pakistan,Bmw,12,2.646153846153846,2
Pakistan,Bmw,13,7.615384615384615,3
Pakistan,Bmw,15,0.8923076923076924,1
Pakistan,Bmw,16,0.8461538461538463,2
Pakistan,Bmw,17,0.7384615384615385,5
Pakistan,Bmw,18,0.7384615384615385,13
Pakistan,Bmw,19,0.6653846153846154,14
Pakistan,Bmw,20,0.6153846153846154,14
Pakistan,Bmw,21,0.5538461538461539,13
Pakistan,Bmw,22,0.5230769230769231,2
Pakistan,Bmw,23,0.49230769230769234,1
Pakistan,Bmw,24,0.46153846153846156,3
Pakistan,Bmw,25,0.38461538461538464,1
Pakistan,Bmw,26,0.7,1
Pakistan,Bmw,27,0.4576923076923077,2
Pakistan,Bmw,30,0.3,1
Pakistan,Bmw,31,0.3,3
Pakistan,Bmw,32,0.28076923076923077,2
US,Bmw,1,1.7536935251237673,34
US,Bmw,2,1.5943554360113827,787
US,Bmw,3,1.3236463571512105,346
US,Bmw,4,1.2638287919541573,844
US,Bmw,5,1.0484348809106148,2120
US,Bmw,6,0.8849647214750711,506
US,Bmw,7,0.779635910030016,289
US,Bmw,8,0.6509375121818111,488
US,Bmw,9,0.5453553190659962,152
US,Bmw,10,0.5065294507465015,152
US,Bmw,11,0.4674307098584961,267
US,Bmw,12,0.3869138112501462,206
US,Bmw,13,0.3503683779674892,145
US,Bmw,14,0.31146454605699136,59
US,Bmw,15,0.31173741862550186,50
US,Bmw,16,0.2722293688847308,48
US,Bmw,17,0.29216855728374846,18
US,Bmw,18,0.194908977507504,17
US,Bmw,19,0.3117374186255019,9
US,Bmw,20,0.2239504151561221,4
US,Bmw,21,0.29021946750867345,8
US,Bmw,22,0.3469379799633571,3
Pakistan,Cadillac,2,0.2011111111111111,1
Pakistan,Cadillac,16,1.0,1
Pakistan,Cadillac,17,2.0,1
US,Cadillac,1,1.62504884720594,30
US,Cadillac,2,1.5191481047284094,498
US,Cadillac,3,1.3889800703399766,452
US,Cadillac,4,1.221180148495506,657
US,Cadillac,5,0.976905041031653,1015
US,Cadillac,6,0.8493942946463462,377
US,Cadillac,7,0.7367330988667449,237
US,Cadillac,8,0.6639312231340367,285
US,Cadillac,9,0.5779601406799532,177
US,Cadillac,10,0.4997069167643611,114
US,Cadillac,11,0.5214927706135208,130
US,Cadillac,12,0.6251465416178195,156
US,Cadillac,13,0.32227432590855803,98
US,Cadillac,14,0.31242672919109027,62
US,Cadillac,15,0.23446658851113716,59
US,Cadillac,16,0.2341539663931223,18
US,Cadillac,17,0.19538882375928096,13
US,Cadillac,18,0.17584994138335286,5
US,Cadillac,19,0.15142633841344275,11
US,Cadillac,20,0.17258694802657287,4
US,Cadillac,21,0.1708675263774912,6
US,Cadillac,22,0.15631105900742479,3
Pakistan,Chevrolet,7,2.138888888888889,1
Pakistan,Chevrolet,8,14.444444444444445,1
Pakistan,Chevrolet,12,2.0555555555555554,1
Pakistan,Chevrolet,14,1.5833333333333333,3
Pakistan,Chevrolet,15,1.0888888888888888,7
Pakistan,Chevrolet,16,1.0,3
Pakistan,Chevrolet,17,1.4861111111111112,6
Pakistan,Chevrolet,18,0.8500000000000001,12
Pakistan,Chevrolet,19,0.8833333333333333,29
Pakistan,Chevrolet,20,0.8888888888888888,3
Pakistan,Chevrolet,21,0.6527777777777778,2
Pakistan,Chevrolet,23,2.9444444444444446,1
US,Chevrolet,1,1.5548763545429285,51
US,Chevrolet,2,1.1653514865240344,4700
US,Chevrolet,3,1.2225062517365934,4408
US,Chevrolet,4,1.2241733814948597,5766
US,Chevrolet,5,1.083578771881078,4887
US,Chevrolet,6,0.9444290080577938,2337
US,Chevrolet,7,0.7717699360933593,1832
US,Chevrolet,8,0.8330369547096417,1582
US,Chevrolet,9,0.7779938871908864,941
US,Chevrolet,10,0.7216449013614893,698
US,Chevrolet,11,0.777382606279522,774
US,Chevrolet,12,0.7221450402889692,818
US,Chevrolet,13,0.5244512364545707,442
US,Chevrolet,14,0.5000277854959712,434
US,Chevrolet,15,0.49955543206446235,326
US,Chevrolet,16,0.3889969435954432,264
US,Chevrolet,17,0.3939983328702417,125
US,Chevrolet,18,0.35957210336204504,88
US,Chevrolet,19,0.27779938871908866,64
US,Chevrolet,20,0.3327590997499305,47
US,Chevrolet,21,0.5053070297304807,44
US,Chevrolet,22,0.2620727979994443,20
Pakistan,Dodge,2,7.49,1
Pakistan,Dodge,16,1.0,1
Pakistan,Dodge,19,0.36,1
US,Dodge,1,2.088181657744573,2
US,Dodge,2,1.3332254838519912,1118
US,Dodge,3,1.1169480557679863,2219
US,Dodge,4,1.1174186716865697,1296
US,Dodge,5,0.9528795811518325,1309
US,Dodge,6,0.7938702276604506,913
US,Dodge,7,0.823283722571916,512
US,Dodge,8,0.7053356079769398,345
US,Dodge,9,0.7644567327489852,513
US,Dodge,10,0.8339902347196894,284
US,Dodge,11,0.7621624801458909,371
US,Dodge,12,0.7053356079769398,347
US,Dodge,13,0.7000411788928761,300
US,Dodge,14,0.5696805694452615,239
US,Dodge,15,0.5169127595740926,148
US,Dodge,16,0.44284957938702274,98
US,Dodge,17,0.34393199599976465,58
US,Dodge,18,0.3507265133243132,58
US,Dodge,19,0.293958468145185,30
US,Dodge,20,0.2676628036943349,20
US,Dodge,21,0.40705335607976945,10
US,Dodge,22,0.23530795929172305,11
Pakistan,Fiat,14,1.0,1
Pakistan,Fiat,15,1.4682539682539681,1
Pakistan,Fiat,18,0.6825396825396826,1
US,Fiat,2,1.9551614370168258,16
US,Fiat,3,1.364256480218281,115
US,Fiat,4,1.0545702592087312,139
US,Fiat,5,0.965893587994543,110
US,Fiat,6,0.8180991359708959,86
US,Fiat,7,0.7048658481127785,79
Pakistan,Ford,1,2.016706443914081,2
Pakistan,Ford,3,1.9331742243436754,4
Pakistan,Ford,4,0.7398568019093078,4
Pakistan,Ford,5,2.028639618138425,2
Pakistan,Ford,6,1.4558472553699282,4
Pakistan,Ford,7,1.4653937947494033,6
Pakistan,Ford,8,0.9952267303102625,4
Pakistan,Ford,10,0.7637231503579952,3
Pakistan,Ford,11,0.5059665871121718,2
Pakistan,Ford,12,0.48926014319809064,2
Pakistan,Ford,13,0.045346062052505964,1
Pakistan,Ford,18,0.42482100238663484,2
Pakistan,Ford,21,0.081145584725537,1
Pakistan,Ford,23,0.11933174224343675,1
Pakistan,Ford,29,0.03818615751789976,1
Pakistan,Ford,31,0.015751789976133652,1
US,Ford,1,2.530139510397473,25
US,Ford,2,1.4740194788102132,3582
US,Ford,3,1.2380100026322716,4973
US,Ford,4,1.3661226638589103,5326
US,Ford,5,1.0120821268754936,6616
US,Ford,6,0.910502763885233,3514
US,Ford,7,0.726454330086865,1977
US,Ford,8,0.789418267965254,1529
US,Ford,9,0.684127401947881,1285
US,Ford,10,0.5939720979205054,520
US,Ford,11,0.6205843643063964,947
US,Ford,12,0.5473808897078178,664
US,Ford,13,0.5200315872598053,539
US,Ford,14,0.49986838641747827,451
US,Ford,15,0.4264016846538563,340
US,Ford,16,0.3419320873914188,267
US,Ford,17,0.33229797315082915,183
US,Ford,18,0.31505659384048434,128
US,Ford,19,0.31429323506185836,110
US,Ford,20,0.3156093708870755,81
US,Ford,21,0.21037115030271125,30
US,Ford,22,0.24190576467491445,43
Pakistan,Genesis,2,1.0,1
US,Genesis,1,0.9655783824676707,2
US,Genesis,2,1.0098702096976289,40
Pakistan,Gmc,2,1.0,1
Pakistan,Gmc,4,1.0530973451327434,1
Pakistan,Gmc,8,0.7522123893805309,1
US,Gmc,1,1.236564253781033,5
US,Gmc,2,1.3316845809949587,1050
US,Gmc,3,1.3940454675164082,1166
US,Gmc,4,1.2934462094549606,1916
US,Gmc,5,1.027109293255969,1438
US,Gmc,6,0.942718538951774,625
US,Gmc,7,0.7605821364025492,571
US,Gmc,8,0.7417673356796348,524
US,Gmc,9,0.6180348140397602,248
US,Gmc,10,0.6656520498430515,182
US,Gmc,11,0.5523066679349378,260
US,Gmc,12,0.5326738323979835,283
US,Gmc,13,0.4185104156758299,126
US,Gmc,14,0.3802910682012746,113
US,Gmc,15,0.30419480643013413,93
US,Gmc,16,0.2661466755445639,53
US,Gmc,17,0.2529249500618282,50
US,Gmc,18,0.2282507371825359,19
US,Gmc,19,0.19973366308380103,20
US,Gmc,20,0.18833824788357273,14
US,Gmc,21,0.16271283173214116,4
US,Gmc,22,0.19971463901835823,8
Pakistan,Honda,1,1.9647887323943662,242
Pakistan,Honda,2,1.5070422535211268,548
Pakistan,Honda,3,1.678169014084507,722
Pakistan,Honda,4,1.3098591549295775,602
Pakistan,Honda,5,1.371830985915493,634
Pakistan,Honda,6,1.4,1027
Pakistan,Honda,7,1.267605633802817,771
Pakistan,Honda,8,1.1549295774647887,616
Pakistan,Honda,9,1.028169014084507,595
Pakistan,Honda,10,0.9859154929577465,627
Pakistan,Honda,11,0.8873239436619719,484
Pakistan,Honda,12,0.795774647887324,247
Pakistan,Honda,13,0.7323943661971831,244
Pakistan,Honda,14,0.6845070422535211,234
Pakistan,Honda,15,0.6619718309859155,178
Pakistan,Honda,16,0.6056338028169014,168
Pakistan,Honda,17,0.5633802816901409,285
Pakistan,Honda,18,0.5070422535211268,302
Pakistan,Honda,19,0.4647887323943662,377
Pakistan,Honda,20,0.4507042253521127,253
Pakistan,Honda,21,0.4225352112676056,184
Pakistan,Honda,22,0.38028169014084506,175
Pakistan,Honda,23,0.323943661971831,110
Pakistan,Honda,24,0.33098591549295775,153
Pakistan,Honda,25,0.30985915492957744,73
Pakistan,Honda,26,0.29859154929577464,76
Pakistan,Honda,27,0.27464774647887324,64
Pakistan,Honda,28,0.2887323943661972,92
Pakistan,Honda,29,0.23943661971830985,92
Pakistan,Honda,30,0.20985915492957746,16
Pakistan,Honda,31,0.2507042253521127,7
Pakistan,Honda,32,0.2211267605633803,8
Pakistan,Honda,33,0.22535211267605634,7
Pakistan,Honda,34,0.19436619718309858,9
US,Honda,1,2.7878484810601325,13
US,Honda,2,1.4376797099637455,676
US,Honda,3,1.3763907988498563,1872
US,Honda,4,1.182335291911489,3111
US,Honda,5,1.055881985248156,3773
US,Honda,6,0.9376172021502688,1255
US,Honda,7,0.8496374546818353,1040
US,Honda,8,0.8040380047505937,678
US,Honda,9,0.6743342917864733,661
US,Honda,10,0.5969496187023378,497
US,Honda,11,0.5563195399424928,626
US,Honda,12,0.5000625078134767,543
US,Honda,13,0.43655456932116515,325
US,Honda,14,0.3856732091511439,208
US,Honda,15,0.3437304663082885,165
US,Honda,16,0.3119139892486561,133
US,Honda,17,0.2950681335166896,68
US,Honda,18,0.28075384423052885,52
US,Honda,19,0.24971871483935493,31
US,Honda,20,0.24953119139892488,25
US,Honda,21,0.18746093261657706,17
US,Honda,22,0.2257782222777847,8
Pakistan,Hyundai,1,1.2659148781375045,193
Pakistan,Hyundai,2,1.178610403783194,220
Pakistan,Hyundai,3,1.0767551837031648,168
Pakistan,Hyundai,4,1.065842124408876,26
Pakistan,Hyundai,5,0.9276100400145508,4
Pakistan,Hyundai,6,2.1826118588577663,3
Pakistan,Hyundai,7,1.269552564568934,2
Pakistan,Hyundai,9,0.854128701345944,2
Pakistan,Hyundai,10,0.34921789741724263,3
Pakistan,Hyundai,11,1.3241178610403783,1
Pakistan,Hyundai,12,0.5711167697344489,2
Pakistan,Hyundai,14,0.7384503455802109,4
Pakistan,Hyundai,15,0.34921789741724263,7
Pakistan,Hyundai,16,0.18188432157148055,24
Pakistan,Hyundai,17,0.16733357584576208,32
Pakistan,Hyundai,18,0.15278283012004365,42
Pakistan,Hyundai,19,0.14841746089487087,56
Pakistan,Hyundai,20,0.1345943979628956,71
Pakistan,Hyundai,21,0.1302290287377228,37
Pakistan,Hyundai,22,0.12077118952346308,11
Pakistan,Hyundai,23,0.12368133866860677,13
Pakistan,Hyundai,24,0.10040014550745725,13
Pakistan,Hyundai,28,0.11640596580574754,1
Pakistan,Hyundai,30,0.04510731174972717,1
Pakistan,Hyundai,31,0.05965791196798836,17
Pakistan,Hyundai,32,0.07275372862859221,1
US,Hyundai,1,1.6685298227550196,10
US,Hyundai,2,1.117673016106494,2077
US,Hyundai,3,1.0287563433110245,1950
US,Hyundai,4,1.1399573435316614,1808
US,Hyundai,5,1.0690593513274986,1587
US,Hyundai,6,0.8824005295285725,1635
US,Hyundai,7,0.7916452158564389,632
US,Hyundai,8,0.7350886224902552,531
US,Hyundai,9,0.6324924615724057,197
US,Hyundai,10,0.6278590865632124,187
US,Hyundai,11,0.5144517172905788,163
US,Hyundai,12,0.4725307053026403,137
US,Hyundai,13,0.35485768919614624,72
US,Hyundai,14,0.3591233360300066,50
US,Hyundai,15,0.29032139442524085,24
US,Hyundai,16,0.2870853864823123,24
US,Hyundai,17,0.27138339339560197,11
US,Hyundai,18,0.4114878281973965,3
US,Hyundai,19,0.2202691770243436,5
Pakistan,Isuzu,1,1.4090909090909092,1
Pakistan,Isuzu,2,1.3636363636363635,5
Pakistan,Isuzu,3,1.1931818181818181,2
Pakistan,Isuzu,4,1.0568181818181819,7
Pakistan,Isuzu,5,0.875,6
Pakistan,Isuzu,6,0.9090909090909091,1
Pakistan,Isuzu,19,0.22727272727272727,1
Pakistan,Isuzu,21,0.20454545454545456,3
Pakistan,Isuzu,27,0.23863636363636365,2
US,Isuzu,11,2.053658536585366,3
US,Isuzu,12,1.764441591784339,2
US,Isuzu,13,1.7946084724005136,1
US,Isuzu,14,1.3947368421052633,2
US,Isuzu,15,0.7636713735558408,2
US,Isuzu,16,0.9563543003851092,2
US,Isuzu,17,0.9215661103979461,2
US,Isuzu,18,1.1037227214377408,1
US,Isuzu,19,0.8985879332477535,1
US,Isuzu,20,0.5096277278562259,1
US,Isuzu,21,0.6777920410783056,2
Pakistan,Jaguar,15,1.0,1
US,Jaguar,1,1.6671920943344751,5
US,Jaguar,2,1.3638485555791324,115
US,Jaguar,3,1.6337567067810481,65
US,Jaguar,4,1.4645487889902695,58
US,Jaguar,5,1.180302525084119,116
US,Jaguar,6,0.7970232501743005,58
US,Jaguar,7,0.7576768013580284,28
US,Jaguar,8,0.6816817727121162,39
US,Jaguar,9,0.499348267604353,18
US,Jaguar,10,0.4243687289702628,20
US,Jaguar,11,0.45454545454545453,11
US,Jaguar,12,0.51494437539786,28
US,Jaguar,13,0.20576555821637516,7
US,Jaguar,14,0.2087968716845009,17
US,Jaguar,15,0.18184849495286307,10
US,Jaguar,16,0.1802722119494377,8
US,Jaguar,17,0.1492164054684895,10
US,Jaguar,18,0.2773651823335051,6
US,Jaguar,19,0.20597775015914396,9
US,Jaguar,20,0.21067628603473884,5
US,Jaguar,21,0.3029797811391676,3
US,Jaguar,22,0.14391160689926946,2
Pakistan,Jeep,1,0.7878787878787878,9
Pakistan,Jeep,4,8.954545454545455,2
Pakistan,Jeep,6,1.9696969696969697,1
Pakistan,Jeep,8,19.696969696969695,1
Pakistan,Jeep,9,9.090909090909092,1
Pakistan,Jeep,12,2.727272727272727,3
Pakistan,Jeep,13,0.9696969696969697,1
Pakistan,Jeep,16,0.7272727272727273,3
Pakistan,Jeep,18,0.9545454545454546,2
Pakistan,Jeep,19,0.9696969696969697,8
Pakistan,Jeep,20,0.8787878787878788,2
Pakistan,Jeep,21,0.8333333333333333,4
Pakistan,Jeep,22,1.0,10
Pakistan,Jeep,23,0.9545454545454546,6
Pakistan,Jeep,24,1.378787878787879,2
Pakistan,Jeep,25,1.0909090909090908,5
Pakistan,Jeep,26,1.1484848484848484,4
Pakistan,Jeep,27,1.5666666666666667,6
Pakistan,Jeep,28,0.9393939393939393,2
Pakistan,Jeep,29,1.4575757575757575,3
Pakistan,Jeep,30,0.8333333333333334,1
Pakistan,Jeep,31,0.5757575757575758,1
Pakistan,Jeep,33,1.2121212121212122,1
Pakistan,Jeep,34,1.5757575757575757,1
US,Jeep,1,1.2527980187645853,2
US,Jeep,2,1.1323046149449922,1443
US,Jeep,3,0.9139400866790494,2315
US,Jeep,4,1.2973520026670475,2454
US,Jeep,5,1.1423298566461875,2302
US,Jeep,6,1.1882649902367004,615
US,Jeep,7,0.9466828594561127,806
US,Jeep,8,0.8190455779397057,610
US,Jeep,9,0.8519312282707053,337
US,Jeep,10,0.6831928370719627,188
US,Jeep,11,0.6866457112920894,318
US,Jeep,12,0.5235509834738296,273
US,Jeep,13,0.4281564032957089,193
US,Jeep,14,0.3805305519836167,129
US,Jeep,15,0.28551697861599273,97
US,Jeep,16,0.28063532885650333,48
US,Jeep,17,0.28444539696147064,36
US,Jeep,18,0.2804210125255989,16
US,Jeep,19,0.23789112730390055,27
US,Jeep,20,0.23789112730390055,18
US,Jeep,21,0.2522741344001524,9
US,Jeep,22,0.2833738153069486,11
Pakistan,Kia,1,1.1556864188443137,125
Pakistan,Kia,2,1.0820758189179243,261
Pakistan,Kia,3,1.026867868973132,413
Pakistan,Kia,4,0.9790209790209791,272
Pakistan,Kia,5,0.9532572690467427,54
Pakistan,Kia,6,1.1409642988590356,4
Pakistan,Kia,13,0.853882959146117,1
Pakistan,Kia,14,0.5476628634523372,1
Pakistan,Kia,16,0.4637467795362532,3
Pakistan,Kia,17,0.4619065145380935,2
Pakistan,Kia,18,0.17666543982333455,1
Pakistan,Kia,19,0.10158262789841738,6
Pakistan,Kia,20,0.20463746779536254,9
Pakistan,Kia,21,0.18108207581891791,16
Pakistan,Kia,22,0.10305483989694517,15
Pakistan,Kia,23,0.08317997791682002,22
Pakistan,Kia,24,0.08097165991902834,7
Pakistan,Kia,25,0.09937430990062569,1
Pakistan,Kia,27,0.08943687891056312,2
Pakistan,Kia,28,0.05925653294074347,10
Pakistan,Kia,29,0.17666543982333455,3
US,Kia,1,1.8030818491094658,15
US,Kia,2,1.2390767794009738,1919
US,Kia,3,1.0669068107531186,1399
US,Kia,4,1.0144753518777934,1926
US,Kia,5,0.9338936695350544,1379
US,Kia,6,0.7992795677406443,794
US,Kia,7,0.726302448135548,439
US,Kia,8,0.667000200120072,392
US,Kia,9,0.499566406510573,123
US,Kia,10,0.4294910279501034,70
US,Kia,11,0.3999066106330465,73
US,Kia,12,0.372890400907211,48
US,Kia,13,0.3334667467146955,31
US,Kia,14,0.3063838302981789,31
US,Kia,15,0.25345207124274566,14
US,Kia,16,0.22413448068841305,7
US,Kia,17,0.3301981188713228,5
US,Kia,18,0.26015609365619374,5
US,Kia,19,0.1664331932492829,4
US,Kia,20,0.21082649589753855,2
Pakistan,Land,2,23.055555555555557,1
Pakistan,Land,8,1.9444444444444444,1
Pakistan,Land,16,1.25,3
Pakistan,Land,17,1.1111111111111112,1
Pakistan,Land,18,0.9722222222222222,5
Pakistan,Land,19,0.6944444444444444,3
Pakistan,Land,20,1.0277777777777777,2
Pakistan,Land,22,0.6111111111111112,1
Pakistan,Land,23,0.8611111111111112,2
Pakistan,Land,24,1.0555555555555556,1
Pakistan,Land,29,1.0833333333333333,1
US,Land,1,1.8428812251778623,2
US,Land,2,1.228320809165976,136
US,Land,3,1.712620360581731,212
US,Land,4,1.4797565644732706,151
US,Land,5,1.4070116289036831,162
US,Land,6,0.9285979599417126,130
